Name,Platform,Publisher,Genre,Release_Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
'98 Koshien,PS,Magical Company,Sports,1998.0,0.15,0.1,0.12,0.03
'98 Koshien,PS,Magical Company,Sports,1998.0,0.15,0.1,0.12,0.03
.hack//Infection Part 1,PS2,Atari,Role-Playing,2002.0,0.49,0.38,0.26,0.13
.hack//Infection Part 1,PS2,Atari,Role-Playing,2002.0,0.49,0.38,0.26,0.13
.hack//Mutation Part 2,PS2,Atari,Role-Playing,2002.0,0.23,0.18,0.2,0.06
.hack//Mutation Part 2,PS2,Atari,Role-Playing,2002.0,0.23,0.18,0.2,0.06
.hack//Outbreak Part 3,PS2,Atari,Role-Playing,2002.0,0.14,0.11,0.17,0.04
.hack//Outbreak Part 3,PS2,Atari,Role-Playing,2002.0,0.14,0.11,0.17,0.04
007: Quantum of Solace,Wii,Activision,Action,2008.0,0.3,0.29,0.01,0.07
007: Quantum of Solace,Wii,Activision,Action,2008.0,0.3,0.29,0.01,0.07
007: Quantum of Solace,X360,Activision,Action,2008.0,0.82,0.52,0.01,0.14
007: Quantum of Solace,X360,Activision,Action,2008.0,0.82,0.52,0.01,0.14
007: Quantum of Solace,PS2,Activision,Action,2008.0,0.17,0.0,0.0,0.26
007: Quantum of Solace,PS2,Activision,Action,2008.0,0.17,0.0,0.0,0.26
007: Quantum of Solace,PS3,Activision,Action,2008.0,0.43,0.52,0.02,0.2
007: Quantum of Solace,PS3,Activision,Action,2008.0,0.43,0.52,0.02,0.2
2002 FIFA World Cup,PS2,Electronic Arts,Sports,2002.0,0.21,0.17,0.16,0.06
2002 FIFA World Cup,PS2,Electronic Arts,Sports,2002.0,0.21,0.17,0.16,0.06
2010 FIFA World Cup South Africa,Wii,Electronic Arts,Sports,2010.0,0.23,0.15,0.01,0.04
2010 FIFA World Cup South Africa,Wii,Electronic Arts,Sports,2010.0,0.23,0.15,0.01,0.04
2010 FIFA World Cup South Africa,PS3,Electronic Arts,Sports,2010.0,0.3,0.64,0.07,0.22
2010 FIFA World Cup South Africa,PS3,Electronic Arts,Sports,2010.0,0.3,0.64,0.07,0.22
2010 FIFA World Cup South Africa,PSP,Electronic Arts,Sports,2010.0,0.09,0.24,0.03,0.12
2010 FIFA World Cup South Africa,PSP,Electronic Arts,Sports,2010.0,0.09,0.24,0.03,0.12
2010 FIFA World Cup South Africa,X360,Electronic Arts,Sports,2010.0,0.32,0.43,0.02,0.09
2010 FIFA World Cup South Africa,X360,Electronic Arts,Sports,2010.0,0.32,0.43,0.02,0.09
2014 FIFA World Cup Brazil,X360,Electronic Arts,Sports,2014.0,0.14,0.28,0.0,0.04
2014 FIFA World Cup Brazil,X360,Electronic Arts,Sports,2014.0,0.14,0.28,0.0,0.04
2014 FIFA World Cup Brazil,PS3,Electronic Arts,Sports,2014.0,0.15,0.39,0.01,0.16
2014 FIFA World Cup Brazil,PS3,Electronic Arts,Sports,2014.0,0.15,0.39,0.01,0.16
50 Cent: Blood on the Sand,PS3,THQ,Shooter,2009.0,0.1,0.06,0.01,0.03
50 Cent: Blood on the Sand,PS3,THQ,Shooter,2009.0,0.1,0.06,0.01,0.03
50 Cent: Blood on the Sand,X360,THQ,Shooter,2009.0,0.12,0.07,0.0,0.02
50 Cent: Blood on the Sand,X360,THQ,Shooter,2009.0,0.12,0.07,0.0,0.02
7th Dragon III Code: VFD,3DS,Sega,Role-Playing,2015.0,0.03,0.0,0.12,0.0
7th Dragon III Code: VFD,3DS,Sega,Role-Playing,2015.0,0.03,0.0,0.12,0.0
A-Train,PS,Sony Computer Entertainment,Simulation,1995.0,0.02,0.01,0.04,0.01
A-Train,PS,Sony Computer Entertainment,Simulation,1995.0,0.02,0.01,0.04,0.01
Ace Attorney Investigations: Miles Edgeworth,DS,Capcom,Adventure,2009.0,0.27,0.15,0.3,0.04
Ace Attorney Investigations: Miles Edgeworth,DS,Capcom,Adventure,2009.0,0.27,0.15,0.3,0.04
Ace Combat: Assault Horizon,X360,Namco Bandai Games,Action,2011.0,0.3,0.12,0.03,0.04
Ace Combat: Assault Horizon,X360,Namco Bandai Games,Action,2011.0,0.3,0.12,0.03,0.04
