Name,Publisher,Platform,Genre,Release_Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
'98 Koshien,Magical Company,PS,Sports,1998.0,0.15,0.1,0.12,0.03
.hack//G.U. Vol.1//Rebirth,Namco Bandai Games,PS2,Role-Playing,2006.0,0.0,0.0,0.17,0.0
.hack//G.U. Vol.2//Reminisce,Namco Bandai Games,PS2,Role-Playing,2006.0,0.11,0.09,0.0,0.03
.hack//G.U. Vol.2//Reminisce (jp sales),Namco Bandai Games,PS2,Role-Playing,2006.0,0.0,0.0,0.16,0.0
.hack//G.U. Vol.3//Redemption,Namco Bandai Games,PS2,Role-Playing,2007.0,0.0,0.0,0.17,0.0
.hack//Infection Part 1,Atari,PS2,Role-Playing,2002.0,0.49,0.38,0.26,0.13
.hack//Link,Namco Bandai Games,PSP,Role-Playing,2010.0,0.0,0.0,0.14,0.0
.hack//Mutation Part 2,Atari,PS2,Role-Playing,2002.0,0.23,0.18,0.2,0.06
.hack//Outbreak Part 3,Atari,PS2,Role-Playing,2002.0,0.14,0.11,0.17,0.04
.hack//Quarantine Part 4: The Final Chapter,Atari,PS2,Role-Playing,2003.0,0.09,0.07,0.0,0.02
.hack: Sekai no Mukou ni + Versus,Namco Bandai Games,PS3,Action,2012.0,0.0,0.0,0.03,0.0
007 Racing,Electronic Arts,PS,Racing,2000.0,0.3,0.2,0.0,0.03
007: Quantum of Solace,Activision,DS,Action,2008.0,0.11,0.01,0.0,0.01
007: Quantum of Solace,Activision,PC,Action,2008.0,0.01,0.01,0.0,0.0
007: Quantum of Solace,Activision,PS2,Action,2008.0,0.17,0.0,0.0,0.26
007: Quantum of Solace,Activision,PS3,Action,2008.0,0.43,0.51,0.02,0.19
007: Quantum of Solace,Activision,Wii,Action,2008.0,0.29,0.28,0.01,0.07
007: Quantum of Solace,Activision,X360,Action,2008.0,0.82,0.51,0.01,0.14
007: The World is not Enough,Electronic Arts,N64,Action,2000.0,1.13,0.38,0.02,0.03
007: The World is not Enough,Electronic Arts,PS,Action,2000.0,0.51,0.35,0.0,0.06
007: Tomorrow Never Dies,Electronic Arts,PS,Shooter,1999.0,1.72,1.33,0.0,0.16
1 vs. 100,DSI Games,DS,Misc,2008.0,0.08,0.0,0.0,0.01
1/2 Summer +,Kaga Create,PSP,Adventure,2013.0,0.0,0.0,0.01,0.0
10 Minute Solution,Activision,Wii,Sports,2010.0,0.06,0.01,0.0,0.01
100 All-Time Favorites,Ubisoft,DS,Puzzle,2009.0,0.35,0.12,0.0,0.04
100 Classic Books,Nintendo,DS,Misc,2008.0,0.12,0.52,0.0,0.02
100 Classic Games,Rondomedia,DS,Misc,2011.0,0.0,0.03,0.0,0.0
1000 Cooking Recipes from ELLE à table,Nintendo,DS,Misc,2010.0,0.0,0.02,0.0,0.0
1001 Touch Games,Avanquest,DS,Action,2011.0,0.11,0.16,0.0,0.04
101-in-1 Explosive Megamix,Nordcurrent,DS,Puzzle,2008.0,0.05,0.12,0.0,0.02
101-in-1 Party Megamix Wii,Nordcurrent,Wii,Misc,2009.0,0.19,0.01,0.0,0.02
101-in-1 Sports Megamix,Nordcurrent,DS,Sports,2010.0,0.08,0.0,0.0,0.01
101-in-1 Sports Party Megamix,Nordcurrent,Wii,Sports,2010.0,0.02,0.0,0.0,0.0
1080°: TenEighty Snowboarding,Nintendo,N64,Sports,1998.0,1.25,0.61,0.13,0.05
11eyes: CrossOver,5pb,PSP,Adventure,2010.0,0.0,0.0,0.02,0.0
11eyes: CrossOver,5pb,X360,Adventure,2009.0,0.0,0.0,0.02,0.0
12-Sai. Honto no Kimochi,Happinet,3DS,Adventure,2014.0,0.0,0.0,0.07,0.0
12-Sai. Koisuru Diary,Happinet,3DS,Adventure,2016.0,0.0,0.0,0.05,0.0
